web-scraper-order,web-scraper-start-url,player-link,player-link-href,player-stats-link,player-stats-link-href,player-stats
"1613237373-2847","https://www.atptour.com/en/rankings/singles","Daniel Evans","https://www.atptour.com/en/players/daniel-evans/e687/overview","Player Stats","https://www.atptour.com/en/players/daniel-evans/e687/player-stats","Return Points Won"
"1613237307-2311","https://www.atptour.com/en/rankings/singles","Nikoloz Basilashvili","https://www.atptour.com/en/players/nikoloz-basilashvili/bg23/overview","Player Stats","https://www.atptour.com/en/players/nikoloz-basilashvili/bg23/player-stats","Return Games Played"
"1613237234-1698","https://www.atptour.com/en/rankings/singles","Laslo Djere","https://www.atptour.com/en/players/laslo-djere/db63/overview","Player Stats","https://www.atptour.com/en/players/laslo-djere/db63/player-stats","48%"
"1613237092-516","https://www.atptour.com/en/rankings/singles","Pedro Martinez","https://www.atptour.com/en/players/pedro-martinez/mo44/overview","Player Stats","https://www.atptour.com/en/players/pedro-martinez/mo44/player-stats","Singles Return Record"
"1613237400-3046","https://www.atptour.com/en/rankings/singles","Karen Khachanov","https://www.atptour.com/en/players/karen-khachanov/ke29/overview","Player Stats","https://www.atptour.com/en/players/karen-khachanov/ke29/player-stats","1st Serve"
"1613237148-981","https://www.atptour.com/en/rankings/singles","Marcos Giron","https://www.atptour.com/en/players/marcos-giron/gc88/overview","Player Stats","https://www.atptour.com/en/players/marcos-giron/gc88/player-stats","Return Games Played"
"1613237116-719","https://www.atptour.com/en/rankings/singles","Marco Cecchinato","https://www.atptour.com/en/players/marco-cecchinato/cf01/overview","Player Stats","https://www.atptour.com/en/players/marco-cecchinato/cf01/player-stats","Return Points Won"
"1613237373-2827","https://www.atptour.com/en/rankings/singles","Daniel Evans","https://www.atptour.com/en/players/daniel-evans/e687/overview","Player Stats","https://www.atptour.com/en/players/daniel-evans/e687/player-stats","61%"
"1613237422-3248","https://www.atptour.com/en/rankings/singles","David Goffin","https://www.atptour.com/en/players/david-goffin/gb88/overview","Player Stats","https://www.atptour.com/en/players/david-goffin/gb88/player-stats","Service Games Won"
"1613237373-2840","https://www.atptour.com/en/rankings/singles","Daniel Evans","https://www.atptour.com/en/players/daniel-evans/e687/overview","Player Stats","https://www.atptour.com/en/players/daniel-evans/e687/player-stats","1,028"
